steam_appid,name,type,initial_price,release_date,score,recommendation,windows,mac,linux,header_image
10,Counter-Strike,game,9.99,2000-11-01,88.0,79848.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1447887426
20,Team Fortress Classic,game,4.99,1999-04-01,,2567.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1447350811
30,Day of Defeat,game,4.99,2003-05-01,79.0,2519.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg?t=1447350812
40,Deathmatch Classic,game,4.99,2001-06-01,,929.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg?t=1447350812
50,Half-Life: Opposing Force,game,4.99,1999-11-01,,3161.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg?t=1447350813
60,Ricochet,game,4.99,2000-11-01,,2109.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg?t=1453942008
70,Half-Life,game,9.99,1998-11-08,96.0,15321.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1447890508
80,Counter-Strike: Condition Zero,game,9.99,2004-03-01,65.0,7795.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920
130,Half-Life: Blue Shift,game,4.99,2001-06-01,71.0,2360.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1447350816
220,Half-Life 2,game,9.99,2004-11-16,96.0,43381.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/220/header.jpg?t=1456860366
240,Counter-Strike: Source,game,19.99,2004-11-01,88.0,58437.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/240/header.jpg?t=1448314295
280,Half-Life: Source,game,0.0,2004-06-01,,2737.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/280/header.jpg?t=1447350819
300,Day of Defeat: Source,game,9.99,2010-07-12,80.0,7753.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/300/header.jpg?t=1447350820
320,Half-Life 2: Deathmatch,game,4.99,2004-11-01,,4574.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/320/header.jpg?t=1447350821
340,Half-Life 2: Lost Coast,game,0.0,2005-10-27,,4522.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/340/header.jpg?t=1447350821
360,Half-Life Deathmatch: Source,game,0.0,2006-05-01,,932.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/360/header.jpg?t=1447350852
380,Half-Life 2: Episode One,game,7.99,2006-06-01,87.0,4687.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/380/header.jpg?t=1456867730
400,Portal,game,9.99,2007-10-10,90.0,31053.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/400/header.jpg?t=1447890222
420,Half-Life 2: Episode Two,game,7.99,2007-10-10,90.0,9197.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/420/header.jpg?t=1456867684
440,Team Fortress 2,game,0.0,2007-10-10,92.0,410456.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/440/header.jpg?t=1474050434
500,Left 4 Dead,game,19.99,2008-11-17,89.0,11048.0,1.0,1.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/500/header.jpg?t=1447903113
550,Left 4 Dead 2,game,19.99,2009-11-16,89.0,159088.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1467131981
570,Dota 2,game,0.0,2013-07-09,90.0,665563.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1478023607
620,Portal 2,game,19.99,2011-04-18,95.0,85367.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1452903431
630,Alien Swarm,game,0.0,2010-07-19,77.0,15340.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/630/header.jpg?t=1447353182
730,Counter-Strike: Global Offensive,game,14.99,2012-08-21,83.0,1655597.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/730/header.jpg?t=1479515605
1002,Rag Doll Kung Fu,game,9.99,2005-10-12,69.0,,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/1002/header.jpg?t=1447350828
1200,Red Orchestra: Ostfront 41-45,game,9.99,2006-03-14,81.0,1285.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/1200/header.jpg?t=1447350836
1250,Killing Floor,game,19.99,2009-05-14,72.0,46424.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/1250/header.jpg?t=1464640213
1300,SiN Episodes: Emergence,game,9.99,2006-05-10,75.0,409.0,1.0,0.0,0.0,http://cdn.akamai.steamstatic.com/steam/apps/1300/header.jpg?t=1464638889
1500,Darwinia,game,9.99,2005-07-14,84.0,484.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/1500/header.jpg?t=1460468361
1510,Uplink,game,9.99,2006-08-23,75.0,1397.0,1.0,1.0,1.0,http://cdn.akamai.steamstatic.com/steam/apps/1510/header.jpg?t=1478098895
